# What LeanGeospatial proves about the matrices this dataset observed.
#
# One row per (matrix, kinds, predicate). entailed means the prover derived
# the predicate from the matrix; refuted means it derived its negation. Both
# are results; neither is the oracle's opinion. A pair the prover left open
# is absent.
#
# Regenerate with src/certify.py, which needs LeanGeospatial built. Reading
# this file does not.
#
# prover: LeanGeospatial 6772728790769adc892bb361effb22901821b74a
# claims: 176
matrix	a_kind	b_kind	predicate	verdict
0F2FF1FF2	area	point	sfContains	entailed
0F2FF1FF2	area	point	sfCrosses	refuted
0F2FF1FF2	area	point	sfDisjoint	refuted
0F2FF1FF2	area	point	sfEquals	refuted
0F2FF1FF2	area	point	sfIntersects	entailed
0F2FF1FF2	area	point	sfOverlaps	refuted
0F2FF1FF2	area	point	sfTouches	refuted
0F2FF1FF2	area	point	sfWithin	refuted
0FFFFF212	point	area	sfContains	refuted
0FFFFF212	point	area	sfCrosses	refuted
0FFFFF212	point	area	sfDisjoint	refuted
0FFFFF212	point	area	sfEquals	refuted
0FFFFF212	point	area	sfIntersects	entailed
0FFFFF212	point	area	sfOverlaps	refuted
0FFFFF212	point	area	sfTouches	refuted
0FFFFF212	point	area	sfWithin	entailed
212101212	area	area	sfContains	refuted
212101212	area	area	sfCrosses	refuted
212101212	area	area	sfDisjoint	refuted
212101212	area	area	sfEquals	refuted
212101212	area	area	sfIntersects	entailed
212101212	area	area	sfOverlaps	entailed
212101212	area	area	sfTouches	refuted
212101212	area	area	sfWithin	refuted
212111212	area	area	sfContains	refuted
212111212	area	area	sfCrosses	refuted
212111212	area	area	sfDisjoint	refuted
212111212	area	area	sfEquals	refuted
212111212	area	area	sfIntersects	entailed
212111212	area	area	sfOverlaps	entailed
212111212	area	area	sfTouches	refuted
212111212	area	area	sfWithin	refuted
212F01FF2	area	area	sfContains	entailed
212F01FF2	area	area	sfCrosses	refuted
212F01FF2	area	area	sfDisjoint	refuted
212F01FF2	area	area	sfEquals	refuted
212F01FF2	area	area	sfIntersects	entailed
212F01FF2	area	area	sfOverlaps	refuted
212F01FF2	area	area	sfTouches	refuted
212F01FF2	area	area	sfWithin	refuted
212F11212	area	area	sfContains	refuted
212F11212	area	area	sfCrosses	refuted
212F11212	area	area	sfDisjoint	refuted
212F11212	area	area	sfEquals	refuted
212F11212	area	area	sfIntersects	entailed
